Company,NET Income,Operating Income,Total Assets,Number of Employees,Buyers
WGO,88860,224524,889037,1612,[TJE;AQC;DSW;ULA]
SQB,74134,170334,693185,1163,[ULA;GTM]
BIG,16427,22997,111468,99,[GTM;MQP;JFB;HCB;IFD;OWL]
LAK,48719,92678,400513,557,[OWL;TJF;KQR;LUB]
GLX,33993,56878,257204,305,[LUB;QTL]
QDC,66286,144209,596681,953,[QTL;ZAV;OTK;KYI]
ZVH,98578,263981,1028842,1948,[KYI;QAW]
VFT,83853,205341,820280,1451,[QAW;UFO;DEO;HAC;ZTY;SPC]
EXY,26145,40554,188703,201,[SPC;DTH]
AIL,11419,15096,74944,59,[DTH;RGM;BWL;BKT;UCJ;QEN]
JAP,43712,79748,349622,464,[QEN;RUM;EJT;USW;WDO]
TSU,76004,176841,716986,1216,[WDO;JMB;YUE;UYJ;VOR]
OCH,61278,128541,537963,830,[VOR;BUU]
YUM,93571,243284,955760,1771,[BUU;OOO;WXD;WVX]
HMQ,35863,61050,274333,333,[WVX;BZV;IUY;HIR;OBY;UZD]
DXD,21137,31140,147853,144,[UZD;JME;SSV;YXT;CJU]
MPI,53430,105555,450427,653,[CJU;SAR]
IZU,38704,67597,300952,378,[SAR;EAP;FPB;BOB]
RRZ,70996,159658,653942,1076,[BOB;LXI]
AKE,13289,17955,88321,73,[LXI;BLA;FXR]
WUQ,88563,223364,884896,1602,[FXR;BDB;OIS;ZZM]
GMV,30856,50123,229165,261,[ZZM;MIZ]
PEA,63148,134300,559627,875,[MIZ;MGX;QFB;ABH;QHU;NCY]
LPN,48422,91889,397431,552,[NCY;IJF;EQE;ZIS;HNO]
UHR,80715,193717,778326,1354,[HNO;AHP;TPP;HJN;MDK]
QRE,65989,143258,593136,945,[GRE]
ZJJ,98281,262731,1024444,1937,[MDK;MGO]
IBO,40574,72043,318865,409,[MGO;LXW;RYX]
EMA,25848,39974,186218,197,[RYX;LNG;JIH;KPV]
NEF,58140,119120,502305,757,[KPV;KRQ]
XWK,90433,230711,911095,1664,[KRQ;LBE;LXO;JTC]
SGW,75707,175800,713184,1207,[JTC;AUD]
CYB,17999,25638,123393,113,[AUD;OUM;OWL;CYH;CUX;JWP]
YJO,93274,242080,951494,1760,[JWP;XMA;FGC;NWE;EYJ]
HBS,35566,60380,271592,329,[EYJ;AFF;YMB;QOG]
QTX,67858,149289,615574,993,[QOG;PVF]
MDK,53133,104723,447221,647,[ZJJ;PVF;MGG;FNV;PPK]
VVP,85425,211280,841628,1500,[PPK;SVN;XGY;IQD]
FNT,27718,43672,201994,220,[IQD;RDM]
AYG,12992,17494,86175,71,[RDM;LPY;FAJ]
KQL,45284,83724,365360,492,[FAJ;OZY;ALG;WKJ]
FAX,30558,49497,226548,257,[WKJ;JMB]
PSC,62851,133378,556165,867,[JMB;SWF;EJG;JXD]
YKH,95143,249698,978466,1825,[JXD;PGD;HUR;OLG]
UVU,80417,192630,774390,1345,[OLG;BFW]
DNY,22710,34013,160443,161,[BFW;XKH;DSH;ALO]
NFD,55002,110006,467523,687,[ALO;KXM;DTP;UDJ;KWC;DTS]
IPQ,40276,71327,315991,404,[DTS;LBZ;VWP;DTM;IZR]
SHV,72569,164971,673503,1119,[IZR;VAM]
NSH,57843,118244,498975,750,[VAM;SMW;QJO;GDZ]
XKM,90136,229536,906912,1654,[GDZ;BDB]
GCR,32428,53470,243106,283,[BDB;JFM;NBB;BBZ]
CMD,17702,25133,121123,111,[BBZ;QNC;OHP;XRA]
LEI,49995,96097,413836,583,[XRA;JJH;WUC;UYL;UNU;SIT]
UXN,82287,199502,799235,1402,[SIT;WRH;IDP;ITZ;HZD]
QHZ,67561,148323,611987,985,[HZD;VVP;UHV;CIE;FBA]
ZZE,99854,269379,1047820,1994,[FBA;EOV]
VJR,85128,210152,837577,1491,[EOV;HLM;WOI;WVI]
FCW,27420,43076,199460,216,[WVI;GLR;DML;AXJ;FRP;XOG]
OUA,59713,123804,520069,793,[XOG;CQS;VHY;WDE;CTD]
KEN,44987,82967,362370,487,[CTD;QRB;YZH;LXX;GLX]
TWS,77279,181341,733394,1252,[GLX;DLF]
COX,19572,28357,135544,129,[DLF;WDN;HCV]
YZJ,94846,248480,974159,1815,[HCV;ZNJ;KTP;JMV]
HRO,37139,63959,286199,353,[JMV;IVQ]
DBB,22413,33464,158049,158,[IVQ;MME;RUJ;OOI;YZP;UHD]
MTF,54705,109159,464276,681,[UHD;NGA;CHN]
WLK,86998,217299,863206,1551,[CHN;RLN;PVE;EKR]
RWX,72272,163962,669792,1111,[EKR;XTQ;YLM;SPI;SPH;SDT]
BOB,14564,19967,97620,83,[SDT;JLW;EWD;UTS;UBE]
KGG,46857,87778,381326,522,[UBE;KWZ]
GQT,32131,52831,240456,279,[KWZ;KXM;HJF;TGL]
PIY,64423,138289,574578,906,[TGL;PCO]
LTK,49697,95295,410713,577,[PCO;RCP;JYD;QXM;TQU;RRW]
ULP,81990,198403,795268,1393,[RRW;GFQ]
EDU,24282,36961,173247,179,[GFQ;TGF;JOR;LIY;YQT;TAQ]
ZNG,99557,268117,1043388,1983,[TAQ;JTT;GEQ;HJV;VWZ]
JFL,41849,75137,331257,431,[VWZ;UXK;HDY;XOY;EVU]
SXQ,74141,170358,693274,1163,[EVU;KSE]
OID,59416,122913,516697,786,[KSE;SIT;XPB]
XAH,91708,235783,929138,1707,[XPB;GIA;NHM;CHF]
TKU,76982,180288,729559,1244,[CHF;JQK]
CCZ,19275,27838,133233,126,[JQK;WEE;QDX;BLM]
MUE,51567,100380,430453,615,[BLM;NTP]
HFQ,36841,63275,283416,349,[NTP;PSD;UIC;GAS;NFJ;GYG]
RXV,69134,153468,631068,1027,[GYG;GPM;BCB;DBP;ZXF]
APA,11426,15107,74993,59,[ZXF;UTP;ROA;IGQ]
WZM,86700,216153,859104,1541,[IGQ;DAH]
FRR,28993,46256,212928,236,[DAH;VJC;LXX;NPE;JWV;RZU]
BCE,14267,19494,95441,81,[RZU;AIN;CJD;YTT;VKK]
KUI,46559,87005,378286,516,[VKK;SNU;HXB;YUY]
TMN,78852,186961,753833,1299,[YUY;OLE]
PWA,64126,137355,571082,899,[OLE;CMB;YXI;NAI;LLW;BDR]
YPF,96419,254960,997054,1870,[BDR;GDQ;ZSM]
IHJ,38711,67613,301019,378,[ZSM;YHB;VKG;FIY]
ERW,23985,36398,170811,175,[FIY;FNK]
NJB,56278,113674,481559,715,[FNK;YAR;SDB;NLJ;HLX;TEY]
JTN,41552,74411,328357,426,[TEY;UVY;DEZ;JJG]
SMS,73844,169334,689521,1154,[JJG;HHY]
BEX,16137,22518,109292,97,[HHY;YUT;IKR;IOO]
XOK,91411,234597,924922,1697,[IOO;QVN]
GGO,33703,56241,254575,301,[HXV;QVN;EBQ;FYC;VYB]
QYT,65996,143280,593219,945,[VYB;HGZ;ORI;QXG]
LJG,51270,99565,427296,609,[QXG;UAC]
VBL,83562,204251,816355,1442,[UAC;ENI;UMD]
QLX,68837,152490,627448,1019,[UMD;SXG;PYL;OJR]
ADC,11129,14663,72897,57,[OJR;DPP]
JVH,43422,79023,346743,458,[DPP;VWT;TJN;WKA]
FGT,28696,45650,210368,232,[WKA;ERP;XPG;GLO]
OYY,60988,127657,534630,823,[GLO;AYX]
YQD,93281,242109,951595,1761,[AYX;XZQ;MXQ;OBJ]
TAP,78555,185893,749956,1290,[OBJ;LOX;UEZ;EBO;CNO;CME]
DSU,20847,30618,145556,141,[CME;UIC;QCS;CRE;AYZ]
YDH,96121,253728,992703,1860,[AYZ;DKR]
IVM,38414,66917,298202,373,[DKR;ZTP;RPY;YDH]
RNQ,70706,158687,650359,1068,[YDH;DLU]
NXD,55980,112814,478270,708,[DLU;NUC;LFA]
WPI,88273,222234,880860,1592,[LFA;CJS;OCQ;WOS]
FHN,30565,49512,226610,257,[WOS;XLS]
BSZ,15840,22030,107071,94,[XLS;BER;MJH;LMH;EVO;KKQ]
LKE,48132,91122,394431,546,[KKQ;FYK;ZTI;DCD;ZPC]
GUR,33406,55591,251891,297,[ZPC;OLE;SWJ;FYS;XAH]
QMV,65699,142332,589682,938,[XAH;GJT]
ZEA,97991,261514,1020158,1927,[GJT;XLV;HLP]
VPN,83265,203140,812354,1433,[HLP;HJG;HZG;VLS]
EHR,25558,39410,183799,194,[VLS;CFC]
NZW,57850,118265,499054,750,[CFC;JFH;NGE;UQA]
JJJ,43124,78281,343793,453,[UQA;ULK]
SCO,75417,174786,709480,1199,[ULK;ZDS;CWD;YOL;ACP;QTV]
OMA,60691,126755,531225,816,[QTV;AXK;YUJ;DVT;ITT]
XEF,92983,240906,947326,1750,[ITT;QVN;ZGU;BLD]
HWK,35276,59728,268922,324,[BLD;SGO]
DGW,20550,30087,143211,138,[SGO;BEA;ZSE;QIF;UCK;NFN]
MZB,52842,103910,444091,641,[NFN;FFI]
VRG,85135,210179,837673,1491,[EHD]
RBT,70409,157695,646697,1060,[FFI;XMU]
ATX,12702,17046,84088,69,[XMU;VLB;QMC]
WEK,87976,221080,876734,1583,[QMC;AQP;MCX;DRT]
FWP,30268,48891,224008,253,[DRT;FCF]
POU,62561,132480,552792,860,[FCF;QNE;CCJ;UID]
KYG,47835,90338,391365,540,[UID;YGI;WTL;MAM]
UQL,80127,191573,770564,1337,[MAM;RGJ]
DIQ,22420,33477,158106,158,[RGJ;EYG;ZYL;LFT]
ZTC,97694,260270,1015776,1916,[LFT;JRK]
ILH,39986,70633,313200,399,[JRK;DKI;ZKW;QEK;VVH;JQE]
EVU,25261,38836,181330,190,[JQE;PPU]
NNY,57553,117392,495732,743,[PPU;FZY;COU;PDQ;TGP;YUV]
XFD,89845,228390,902826,1644,[YUV;BSB;HMJ;IJO;VYC]
SQQ,75120,173751,705694,1190,[VYC;MMY;YAD;ARQ;FCI]
CIV,17412,24643,118914,108,[FCI;PQW;LXU;FJL;IRK;CUR]
LAZ,49705,95315,410795,577,[CUR;UGM;HJL;OZO;MIJ]
HKM,34979,59064,266196,320,[MIJ;TKU;UCM;THT;DQF]
QCR,67271,147383,608493,978,[DQF;GHQ]
MND,52545,103084,440901,635,[GHQ;DRQ;MCZ;WPG]
VFI,84838,209053,833630,1482,[WPG;JFH;TLZ;UAO;LYE;KCB]
EXN,27130,42498,197000,213,[KCB;AGX;JVS;AXP;FNR]
AHA,12404,16589,81951,66,[FNR;MHF;VFG;UUX;SHV]
KZE,44697,82230,359457,481,[SHV;QKE]
TRJ,76989,180313,729649,1244,[QKE;IMP;VCN]
PCW,62263,131561,549336,853,[VCN;HAK;YJD;QTG]
YUA,94556,247294,969961,1805,[QTG;PTT]
UEN,79830,190494,766653,1328,[PTT;MQB;TDA;EBZ;TFT;VLB]
DWS,22123,32931,155719,155,[VLB;YDY;IPW]
MPX,54415,108335,461113,674,[IPW;BHP;CUB;YCW]
IZJ,39689,69925,310349,394,[YCW;GFT;OLB;DAI;EAC;CPR]
RRO,71982,162979,666176,1103,[CPR;LFL;OYB;OUD;BIO]
BJT,14274,19505,95492,81,[BIO;VHZ]
WTF,89548,227221,898658,1634,[VHZ;CBU;PVM;ANV]
GMK,31841,52211,237875,275,[ANV;VAS]
CWX,17115,24143,116659,105,[VAS;MEV;SWD;GLD;NVD;COU]
LOC,49407,94516,407679,571,[COU;AXV]
UGG,81700,197333,791401,1384,[AXV;MVM;EQX;WTY;GDU;WHI]
QRT,66974,146423,604922,970,[WHI;GIZ;RPQ;AKH;KLP]
ZJY,99266,266886,1039058,1973,[KLP;YST;WTM;JXZ;YKW]
JBD,41559,74428,328425,426,[YKW;AFV]
ELP,26833,41909,194489,209,[AFV;NZZ;IZB]
ODU,59125,122044,513404,779,[IZB;CPX;NBK;NDC]
JOH,44400,81479,356483,476,[NDC;ZEB]
TGL,76692,179263,725822,1235,[ZEB;ZYU;DEN;MIK]
CYQ,18985,27333,130983,123,[MIK;PBF]
YID,94259,246081,965669,1794,[PBF;ZPF;SYH;ADX;FXT;NVL]
HAH,36551,62612,280714,344,[NVL;QPM;UQJ;PKQ;FSR]
QSM,68844,152513,627533,1019,[FSR;FEP;ZBB;ONA]
MDZ,54118,107493,457882,668,[ONA;LNI]
WVE,86410,215040,855116,1532,[LNI;FSJ;DNC;PHZ;LFM;YWA]
RFQ,71684,161973,662471,1095,[YWA;XXS;UXP;RHA;CGX]
BXV,13977,19034,93321,79,[CGX;UWL;KGN;VJD;TXP]
KPA,46269,86254,375333,511,[TXP;MID;PNS;OGZ;VVA;KZU]
GAM,31544,51578,235239,270,[KZU;NLA;WIQ]
PSR,63836,136446,567676,891,[WIQ;NFV;WEZ;MPI]
YKW,96128,253757,992805,1860,[MPI;NAL]
UUJ,81403,196239,787449,1375,[NAL;OZG;LFL;DYA;RMX;CBZ]
DMN,23695,35851,168440,172,[CBZ;GWT;NAB;UGE]
ZXA,98969,265630,1034642,1962,[UGE;EXB]
JPF,41262,73706,325533,421,[EXB;FFB;HRL;TKL]
SHJ,73554,168337,685865,1146,[TKL;GXH]
ORW,58828,121159,510048,772,[GXH;TZK;PJG;GJB;EMY;NIC]
XJB,91121,233441,920813,1687,[NIC;XEQ]
GCG,33413,55606,251954,297,[XEQ;AIK]
CMS,18687,26818,128681,120,[LVP;AIK]
LEX,50980,98772,424222,603,[AIK;DEB;EXH]
HOK,36254,61936,277954,339,[EXH;BXL;KPS;AFO]
QGO,68546,151536,623911,1011,[AFO;YST]
AZT,10839,14232,70857,55,[YST;VBR;KNZ;OYM]
VJG,86113,213903,851039,1522,[OYM;HAA;SRM;EAT]
FBL,28406,45060,207876,229,[EAT;GGF]
OTP,60698,126776,531305,816,[GGF;WTP;VIV;MXD]
KEC,45972,85488,372317,505,[MXD;TBY;TVT;BRR;GTI;DGX]
TWH,78265,184854,746178,1281,[DGX;BQM;VAA;NAK;LVX]
PGT,63539,135518,564196,884,[LVX;YAA]
YYY,95831,252530,988472,1850,[YAA;DQC;FFM;KZE]
IQD,38124,66239,295459,369,[FNT]
DBQ,23398,35293,166020,169,[KZE;FEP]
NTU,55690,111978,475074,702,[FEP;YED;EGQ]
WLZ,87983,221107,876831,1583,[EGQ;LFZ;GFX;ILP]
SVM,73257,167319,682128,1138,[ILP;IOS]
BNQ,15549,21556,104903,92,[IOS;LBT;MRW;LSC;NHR;ZNH]
XYD,90824,232260,916612,1677,[ZNH;MFU;TVN;JIS;BJQ]
GQI,33116,54959,249277,293,[BJQ;CPU;CWJ;VXH;VPN]
QIN,65408,141406,586227,931,[VPN;YXF]
LSZ,50683,97962,421081,597,[YXF;SEV;BOT]
VKE,82975,202058,808455,1424,[BOT;DQD;WXA;TAY]
ECJ,25268,38849,181388,190,[TAY;IAP]
ANV,10542,13793,68777,53,[IAP;TBJ;MLF;SFF]
JFA,42834,77562,340929,448,[SFF;LOW]
FPN,28108,44458,205324,225,[LOW;IAV;LUE;OCC;OQJ;HIF]
OHS,60401,125876,527908,809,[HIF;FJV;NTD;KCD;YHK]
XZW,92693,239736,943177,1740,[YHK;URD;UZU;YAJ]
TKJ,77967,183789,742308,1273,[YAJ;RRG]
CCO,20260,29571,140928,135,[RRG;EYQ;HFF;IWR;UXB;ZPO]
MUS,52552,103103,440976,635,[ZPO;QCG;SBC]
IEF,37827,65549,292658,364,[SBC;EID;GAT]
RWK,70119,156729,643129,1053,[GAT;LGK;JIW;ONR]
NHW,55393,111125,471809,696,[ONR;TAE]
WZB,87686,219956,872713,1573,[TAE;KOP;ZII;YDM]
FRG,29978,48287,221475,249,[YDM;EEM;KSF;XXJ]
BBT,15252,21073,102698,89,[XXJ;QKM]
KTX,47545,89576,388379,535,[QKM;TBY;XTH;WCR]
UMC,79837,190520,766746,1328,[WCR;NAW]
PWP,65111,140463,582705,923,[NAW;KRS;NKO;EDJ;DTF;UNC]
ZOU,97404,259057,1011504,1905,[UNC;YFU]
UYG,82678,200953,804469,1414,[YFU;BOI;ADZ;VLY;BRS;JVQ]
ERL,24970,38276,178919,187,[JVQ;YHH;QHQ;GAN;LLT]
NJQ,57263,116542,492495,737,[LLT;SVH;VWX;ZIK;HRZ]
JTC,42537,76827,338003,443,[HRZ;ZMY]
SLH,74829,172740,701995,1182,[ZMY;ZNH;OUQ]
CDM,17122,24155,116713,105,[OUQ;XVZ;IRB;FCK]
XOZ,92396,238541,938934,1730,[FCK;OEX]
HGD,34689,58418,263542,316,[OEX;XWQ;YIG;EHR]
CQQ,19963,29045,138599,132,[EHR;VWF]
MIV,52255,102279,437793,629,[VWF;OJZ;KXP;XVD;LDT;GFE]
VAZ,84548,207957,829690,1473,[GFE;DQJ;CTO;FVB;UGJ]
RLM,69822,155742,639483,1045,[UGJ;VUG;VFU;LCV]
ADR,12114,16146,79879,64,[LCV;CET]
JVW,44407,81496,356553,476,[CET;BBN;HIF;OAZ;OWR;XCP]
FFI,29681,47672,218889,245,[VRG;XCP;PWA;RPV]
PXN,61973,130668,545978,846,[RPV;YLE;LPE]
KIA,47248,88798,385329,529,[LPE;WTX;RAO;NIL]
UAE,79540,189443,762843,1319,[NIL;QCP]
DSJ,21832,32400,153389,152,[QCP;LTE;XML;ZED;CRW;ASQ]
ZCW,97107,257819,1007138,1895,[ASQ;WSD;DSA]
IUB,39399,69236,307574,390,[DSA;GBA;JRH;UKT]
RMF,71692,161999,662567,1095,[UKT;AWZ;VSL;TNZ;BQG;IMB]
NXS,56966,115674,489189,730,[IMB;QNY;MTX;MLC;MFL]
WPX,89258,226082,894597,1625,[MFL;XZT]
SZJ,74532,171710,698225,1174,[XZT;WSB;RED;LJT]
BRO,16825,23658,114466,103,[LJT;XJI]
LJT,49117,93739,404653,565,[BRO;XJI;NIT;GWV;HQU]
HUF,34391,57757,260824,311,[HQU;PFR;JVE;MLU]
QMK,66684,145488,601443,963,[MLU;IJX;LXH;KRW;TTM;XBC]
ZEP,98976,265659,1034746,1962,[XBC;SFW;BNL;ITK;EQY]
VOC,84250,206835,825653,1463,[EQY;UIX;SKN;VHB;WZB]
EGG,26543,41336,192045,205,[WZB;GOD]
ART,11817,15696,77765,62,[GOD;TWK;SKF]
JJY,44110,80747,353585,471,[SKF;EZL;LWG;UKM]
TBD,76402,178240,722092,1227,[UKM;THG]
OLP,61676,129757,542547,839,[THG;NJK;FND;KXP]
YEU,93969,244900,961487,1784,[KXP;NWC]
HWZ,36261,61952,278019,340,[NWC;TQQ;DUF;LNW;BFQ;IMS]
DGL,21535,31859,151018,149,[IMS;CDL;EML;BUS;OQS]
MYQ,53828,106674,454734,662,[OQS;QPO;AVU;AKX]
IJD,39102,68534,304739,385,[AKX;CDZ]
RBI,71394,160995,658870,1087,[CDZ;YGQ;HUU;PNV;YGC;HIC]
BTM,13687,18578,91208,76,[HIC;IUQ;QOS;WOP;QGP]
WDZ,88961,224919,890446,1615,[QGP;QCP;OEA;RKJ;TSG]
GVE,31253,50961,232666,266,[TSG;RPS;WYA;QZU;DIB;CLN]
PNI,63546,135540,564278,884,[CLN;LAF;HTP]
LYV,48820,92947,401561,559,[HTP;UOY;YYN;KEN]
UQA,81112,195171,783588,1366,[KEN;EDX]
QAM,66387,144533,597887,955,[EDX;AJH;VQP;JHI;GPP;LME]
ZSR,98679,264406,1030338,1951,[LME;PIW;HBM;SVJ;LSN]
IKW,40972,73003,322717,416,[LSN;XJI;DVR;QZQ]
EVJ,26246,40752,189550,202,[QZQ;HRA]
ONN,58538,120298,506779,766,[HRA;DWM;LAI;XXN;PLZ;UPM]
XFS,90831,232288,916711,1677,[UPM;IBO]
TPF,76105,177195,718280,1219,[IBO;UJW]
CHK,18397,26319,126446,117,[UJW;POD;BPE]
YSW,93671,243691,957200,1774,[BPE;TPV;IKO;GNZ]
HKB,35964,61278,275267,335,[GNZ;JCT]
QCG,68256,150587,620391,1004,[JCT;KZL;WOU;ZJM]
MMS,53531,105838,451518,656,[ZJM;DGE;OST;PWR]
VEX,85823,212796,847067,1513,[PWR;WUW]
FWC,28115,44472,205384,225,[WUW;UOL;DFB;RVM]
AHO,13390,18113,89052,74,[RVM;ZYI;WMQ;DKM;JMY;YXZ]
KZT,45682,84742,369379,500,[YXZ;MMJ;NSK;LRJ;SCH]
GJG,30956,50334,230046,262,[SCH;JLZ]
PBL,63249,134614,560805,877,[JLZ;FZT;WIY;QGO]
YTP,95541,251334,984249,1839,[QGO;ZHT]
UEC,80815,194083,779652,1357,[ZHT;YVX;HBZ]
DWH,23108,34752,163664,166,[HBZ;BSQ;KCN;FAV]
NOM,55400,111145,471886,696,[FAV;HJO]
IYY,40674,72284,319833,411,[HJO;OUJ;RNL;RAL;SFA;XSI]
SRD,72967,166327,678487,1130,[XSI;XCS;ARZ;CXZ;LVO]
NBQ,58241,119418,503439,759,[LVO;YVY;LWO;QZO;GMK]
XTU,90533,231108,912508,1667,[GMK;EFN]
GLZ,32826,54329,246671,289,[EFN;CEV;MZT]
