Company,NET Income,Operating Income,Total Assets,Number of Employees,Buyers
QJV,3394,7468,30793,1212,[WLB;BDD;YBF;LRZ]
ABA,509,663,3312,51,[LRZ;YWW;AZK;UCA;ZUC;PIE]
JTE,2123,3832,16863,518,[PIE;QVT;WNV;MBX;STY]
FER,1387,2186,10109,248,[STY;FYV;NZC;OMR;VIP]
OWW,3002,6239,26189,967,[VIP;KSV]
KGI,2265,4188,18277,582,[KSV;QKX;WFU]
TYN,3880,9124,36878,1553,[WFU;MPB;ZVY;ZQP]
CQS,995,1446,6905,143,[ZQP;PER;VWT;VJI]
YBF,4758,12489,48938,2276,[VJI;QCX]
HTJ,1873,3235,14460,415,[QCX;RPM;XHO;NVQ;TNS;NQH]
RLO,3487,7774,31926,1274,[NQH;JOJ;PGK;WCI;LMO]
NVB,2751,5503,23387,825,[OFC;LMO;REQ]
WOG,4366,10927,43383,1937,[REQ;XAN;UXP;GNK;UTG;JDN]
SYS,3630,8253,33694,1372,[JDN;QYK;VQM;SOO;MRD]
BQX,744,1023,4997,90,[MRD;SJF]
KIC,2359,4431,19232,625,[SJF;MNU;OPJ;THL]
GTO,1622,2675,12162,324,[THL;OKA;KIC;QAE;XWB;MGH]
PLT,3237,6965,28917,1111,[MGH;GJX;YUH;VRI;PVY]
ZDY,4852,12877,50308,2362,[PVY;VNZ]
UNL,4115,9978,39973,1734,[VNZ;KXG;QSD;RGS]
EFP,1230,1878,8793,202,[RGS;AGZ]
ZQC,4994,13474,52411,2494,[AGZ;NLW;TDY;JRA;OJC;CPZ]
JIH,2108,3795,16716,512,[CPZ;KPG]
SAL,3723,8573,34867,1439,[KPG;LCV;SYS;HIZ;NAB;HDQ]
OKY,2987,6194,26019,959,[HDQ;DBS;WLB;QPR;FZX]
XCD,4601,11852,46682,2137,[FZX;LVV;RNW;OKY;IOO]
HUI,1716,2880,13009,357,[IOO;OGP]
CFU,980,1420,6788,139,[OGP;PIE;JLT]
MXZ,2594,5062,21691,742,[JLT;PDV;JHL;GEM]
HHM,1858,3200,14320,410,[GEM;MWO]
RZQ,3473,7727,31752,1265,[MWO;SSL;ICS;VIP]
ARV,587,779,3861,63,[VIP;HXJ]
WCI,4351,10869,43177,1924,[HXJ;EVL;LRI;RJK;GTQ;MPO]
FUN,1466,2346,10787,272,[MPO;SHQ;PER;JIH;PAI]
OMR,3080,6476,27085,1014,[PAI;ENL;KFM;LTB]
KWE,2344,4392,19078,618,[LTB;GLQ]
TOJ,3959,9407,37906,1613,[GLQ;HYF;NQH;TME;IWL;CAA]
PZV,3222,6917,28740,1101,[CAA;QFX;FPE;MLB;RDD]
ZRA,4837,12815,50089,2348,[RDD;GNK;NJH;OWW]
IJF,1951,3417,15199,446,[OWW;WWD]
ETR,1215,1850,8670,198,[WWD;KCA;PUC;FIE;LAG;MNU]
NLW,2830,5730,24257,869,[MNU;CBX;ISY]
WDB,4444,11231,44469,2002,[ISY;CWO;DYC;REZ]
SOO,3708,8521,34677,1428,[REZ;DUU]
BGS,823,1152,5585,105,[DUU;ARV;GJX;MFU;BPB;WSQ]
XQF,4586,11792,46469,2124,[WSQ;ODA;LAC;FER]
GIK,1701,2847,12873,351,[FER;KWT]
QBP,3316,7216,29854,1161,[KWT;AGZ;GCX;HPM]
MLB,2579,5021,21531,734,[HPM;GXO]
VDG,4194,10272,41034,1796,[GXO;DVQ;JNR;DQH;ESV;SYS]
EVL,1309,2031,9450,225,[SYS;EON]
AGX,572,756,3755,60,[EON;BLO;HHM;NZN;CJU;WNJ]
JYC,2187,3991,17496,546,[WNJ;KSG;LVV;FYK;LQM]
FIP,1451,2315,10658,267,[LQM;BEO;HWQ;IJF;YXH]
OAU,3065,6431,26912,1005,[YXH;EPJ]
YSY,4680,12170,47810,2207,[EPJ;JHL;ZVN;FNP]
TDL,3944,9353,37710,1601,[FNP;ZQE;WOG;CFH;IBF;XLL]
DVQ,1058,1559,7402,158,[XLL;LRI;XHD;UEE;AAC]
MNU,2673,5282,22538,783,[NLW]
IXH,1937,3384,15064,441,[AAC;GSD]
RPM,3551,7987,32714,1318,[GSD;VCK;CYH;DLW]
NAY,2815,5687,24091,860,[DLW;ENL]
WSD,4430,11175,44270,1990,[ENL;ZRA;EJC]
GKI,1544,2509,11469,297,[EJC;YMR;APG;BCV]
BUV,808,1127,5473,102,[BCV;AKX]
LMZ,2423,4599,19891,656,[AKX;XIZ;CAA;JVY;YFE;SJU]
UEE,4037,9691,38935,1673,[SJU;GOR;VYX;BUV;HMW]
QPR,3301,7168,29676,1152,[HMW;WWD;DSA;EFP;YJF]
ZHW,4915,13142,51240,2420,[YJF;ZLT]
VRI,4179,10216,40832,1784,[ZLT;FDV;ZGL]
EJN,1294,2001,9324,220,[ZGL;BJZ;CWO;ISL]
NBS,2908,5959,25128,913,[ISL;XCS]
JME,2172,3953,17347,540,[XCS;SFH;KPR;HNS]
SEJ,3787,8796,35681,1485,[HNS;TDN]
CWO,901,1283,6178,122,[TDN;GIK;WSQ;COO;IGQ;LCK]
YGA,4665,12110,47595,2193,[LCK;EMT;FZI;UNL;AFM]
HYF,1780,3022,13595,380,[AFM;GXO;WLQ;XYF]
DJS,1043,1532,7283,154,[XYF;WGI]
MBX,2658,5240,22376,775,[WGI;SEJ;YWL;SZA;UCP;HHM]
VTB,4273,10570,42105,1860,[HHM;BLB]
RDO,3536,7937,32529,1308,[BLB;RVI]
AVT,651,876,4319,73,[RVI;XQF;DIH]
KOY,2266,4190,18286,582,[DIH;SSN;MWD;ABA]
FYK,1529,2477,11338,292,[ABA;BEO]
PQP,3144,6673,27826,1053,[BEO;VHE;BZF;VDV]
LAC,2408,4559,19736,649,[VDV;XFJ;YSY;EOW]
UTG,4022,9636,38737,1661,[EOW;TYC]
DLL,1137,1703,8034,178,[TYC;ZQE;TTU;VWI]
ZVY,4901,13081,51029,2407,[VWI;PZX;CFU;RPB;YKY;ECA]
IND,2015,3569,15812,472,[ECA;AAC;NQW;AVT;QJV]
SFH,3630,8254,33695,1373,[QJV;WBX]
NQU,2894,5917,24969,905,[WBX;CTZ;SHB;TUQ]
XIZ,4508,11482,45365,2057,[TUQ;YMR]
SSL,3772,8743,35490,1474,[YMR;OAU;USV;OVL]
CKQ,887,1259,6070,119,[OVL;QYZ;RLO;QTR]
LCV,2501,4808,20706,695,[QTR;MRS;SJU;ZFR;OPY;ISN]
HNH,1765,2989,13457,375,[ISN;VYK;LIR;RDO;XVQ]
QFM,3379,7420,30613,1202,[XVQ;UTR;TBU;TOJ;OSY]
ZXR,4994,13475,52413,2494,[OSY;PUN]
VHE,4258,10514,41901,1848,[PUN;VMO;PQE;RSS]
FZI,1372,2156,9982,243,[RSS;SFH;YBF;NLL;HOB;AZK]
AKV,636,853,4211,71,[AZK;WWM;JMG;WSD;LCK]
KCA,2251,4152,18135,575,[LCK;SXH;YPJ;STY;OQA]
TUF,3865,9071,36686,1542,[OQA;UIC]
PER,3129,6627,27652,1044,[UIC;OMR;QOG]
YWW,4744,12431,48733,2264,[QOG;WGI;QKX;NHZ]
HOB,1858,3200,14321,410,[NHZ;MPB]
DZN,1122,1675,7913,174,[MPB;ZVY;OFE;IIU;ATD;XQF]
MRS,2737,5463,23233,817,[XQF;RUV;XMW]
IBF,2000,3533,15668,466,[XMW;NAY;TSA;ZKC]
STJ,3615,8203,33508,1362,[ZKC;CFW;PLT;VDV;LQX;RIZ]
BLO,730,1001,4894,87,[RIZ;LMO;MOD;NBS;UXP]
XWB,4493,11423,45155,2044,[UXP;JHW]
GOG,1608,2644,12036,319,[JHW;PZX;JDN;GAP]
PGK,3223,6920,28750,1102,[GAP;FIR]
LQX,2486,4768,20549,687,[FIR;SOO;HYU;OUS;UMT;QJV]
UIC,4101,9926,39784,1722,[XYF]
QTO,3365,7373,30442,1193,[QJV;DZP]
ZLT,4979,13411,52189,2480,[ZHW;DZP;QFM;KIC;MKQ]
JDY,2094,3760,16578,506,[MKQ;SCS;MGH;IDJ]
ENL,1358,2127,9862,239,[WSD]
OGP,2972,6149,25850,950,[HUI]
XYU,4587,11795,46480,2125,[IDJ;OVL]
TIH,3851,9021,36502,1532,[OVL;VRI;KBP;EFE]
CAM,965,1394,6671,136,[PVY;EFE;KXG]
YKY,4729,12370,48516,2250,[KXG;HUI;NQF;TIH;ISN;POL]
HDD,1843,3166,14181,404,[POL;UGM;YBH;LHE]
RVI,3458,7678,31571,1255,[RDO]
MFU,2722,5420,23070,809,[LHE;RZF]
WXZ,4336,10812,42972,1912,[RZF;HNH;NFJ;OSY]
FPE,1451,2315,10658,267,[OSY;IKN]
BAQ,715,977,4784,85,[IKN;JYC;DBS;FDG;LVI;FZX]
KSV,2329,4353,18926,611,[KGI;FZX;GBM;HOB]
GCI,1593,2612,11903,314,[UZI;HOB]
PUN,3208,6873,28574,1093,[ZXR;HOB]
YMR,4822,12753,49871,2335,[XIZ;HOB]
UXE,4086,9871,39585,1711,[HOB;OKY;DUF]
EPJ,1201,1823,8555,194,[DUF;XYU;PIE;MGF]
NHO,2815,5687,24092,860,[MGF;ZVA]
JRA,2079,3724,16432,499,[ZVA;MBX;BLD;IHB;NZC;ICS]
SJF,3694,8473,34499,1418,[BQX;ICS;EAT;KSV]
OUS,2957,6105,25680,941,[KSV;EVL;GXZ]
XMW,4572,11736,46268,2112,[GXZ;MPB;GTQ;CQS]
GEB,1687,2816,12745,346,[CQS;BZU]
COO,950,1368,6555,133,[BZU;PER;EOY;YSN;QCX;NAY]
LGT,2565,4982,21381,727,[NAY;HDO;NVQ]
VYX,4180,10219,40843,1785,[NVQ;HYF;IBU;JOJ]
RJK,3443,7629,31388,1245,[JOJ;IWL]
ABP,558,735,3655,58,[IWL;FUN;LMO;FPE;HSS;BVI]
WLB,4322,10757,42776,1900,[BVI;GNK;DLL;KGI]
FDG,1436,2285,10529,263,[KGI;QYK]
OVL,3051,6388,26750,997,[SKQ;QYK;FIR]
KGX,2315,4316,18782,604,[FIR;ZMG;MRD;USK;IXH;OPJ]
TYC,3929,9299,37516,1590,[UTG;OPJ;DDL;JVN]
DQH,1044,1533,7291,154,[JVN;KIC;AWE;GOG;ARV;CUK]
YAU,4807,12691,49653,2321,[CUK;HML;BPB;YNC]
ISY,1922,3349,14923,435,[YNC;EFE]
DDL,1186,1795,8432,190,[EFE;LAC;AKI;UOY]
NVQ,2800,5644,23926,852,[VYX;UOY;AGZ]
WNV,4415,11117,44063,1978,[AGZ;WDB;DZY;JRA;YBH;EXE]
SXH,3679,8421,34310,1407,[EXE;KPG;ESV;BQX;HIZ]
BQM,793,1103,5361,100,[GOR;HIZ;BLO]
LIR,2408,4560,19737,649,[BLO;COD;DBS]
GSD,1672,2783,12610,341,[IXH]
QKI,3286,7120,29499,1142,[DBS;CJU]
LVV,2550,4941,21222,719,[CJU;ZHW;TKL;AFB;VIR;IOO]
VNZ,4165,10163,40641,1773,[IOO;XYU]
EFE,1279,1972,9200,216,[XYU;ETR;JLT]
APR,543,713,3550,56,[JLT;NHO;FRX;GEM]
JHW,2158,3918,17207,533,[GOG]
SZA,3772,8744,35491,1474,[LTB]
OKN,3036,6342,26579,988,[GEM;OFT]
XCS,4651,12052,47393,2181,[NBS;OFT;CKQ;ICS;XQU]
TME,3914,9246,37321,1579,[XQU;DIW;XLL;UJN]
DEJ,1029,1507,7172,151,[UJN;ABP]
MWO,2644,5200,22224,768,[HHM;ABP;UEE]
IHB,1907,3314,14781,429,[UEE;VHT;BZU]
RZF,3522,7890,32355,1298,[MFU;BZU;VCK;SAL;ZVJ]
ARK,636,853,4211,71,[DPU]
WBX,4400,11059,43856,1965,[ZVJ;ENL]
FTC,1515,2448,11214,288,[OSY;ENL]
BEO,779,1080,5256,97,[FYK;ENL]
KWT,2393,4520,19582,642,[QBP;ENL]
UOY,4008,9584,38550,1650,[NVQ;ENL]
QYK,3271,7073,29321,1133,[ENL;UXR;OBH]
ZQP,4886,13019,50810,2393,[OBH;GLQ;DJS;XMH]
IIU,2001,3535,15676,467,[XMH;DEJ]
ETG,1264,1944,9075,212,[DEJ;XIZ;YKN;ZXC]
NLL,2879,5874,24803,896,[ZXC;YFE]
JVY,2143,3881,17059,527,[YFE;VDG;BVI;VYX;WBM;QEB]
SND,3757,8692,35300,1463,[QEB;WWD;TUF;ZQC;FIE]
CFH,872,1234,5956,116,[FIE;USK;PVA;CBX]
XQU,4636,11992,47178,2168,[TME]
HIZ,1750,2956,13320,369,[BQM]
QAE,3365,7374,30443,1193,[CBX;BJZ]
MKQ,2629,5159,22064,760,[JDY;BJZ;YGA;DYC;XCS]
VDV,4243,10457,41699,1836,[XCS;ZEG;ARV;HNS]
RNI,3507,7840,32170,1288,[HNS;WXZ]
AFM,622,832,4110,68,[WXZ;QBP;WSQ]
KXR,2236,4114,17985,568,[IOO;WSQ;XVF]
FIE,1500,2416,11083,283,[CFH;XVF;RYU;FER;UOY]
PAI,3115,6583,27488,1035,[UOY;AKV;GCX;KXR]
YSN,4729,12370,48518,2250,[KXR;PPT;DVQ;TIS]
UCA,3993,9530,38353,1639,[TIS;YAU]
DUF,1108,1650,7800,170,[EPJ;YAU;ESV]
ZFR,4871,12957,50590,2379,[ESV;UGY;AYZ;UCP;RZQ;WRS]
IXW,1986,3500,15532,460,[WRS;RVI;SXW;TKL]
RPB,3601,8155,33332,1352,[TKL;SSN]
NZN,2864,5830,24636,888,[SSN;PQP;JTE;BEO;QOV;KRK]
WRS,4479,11367,44956,2032,[IXW;KRK;YXH;NHO]
GJX,1593,2613,11903,314,[NHO;TDL;ZVN;TYC]
CUK,857,1209,5842,112,[YAU;TYC;VAR]
LMO,2472,4730,20401,680,[NVB;VAR;WOG;VWI;STJ]
HWB,1735,2922,13183,364,[STJ;XLL;RPB]
QOG,3350,7325,30263,1183,[RPB;TRP;NVF;AAC]
ZGL,4965,13351,51979,2467,[UJN]
VRX,4228,10401,41496,1824,[AAC;QKI]
EJC,1343,2098,9736,235,[QKI;KOY;CYH;ZVJ]
OBH,2958,6107,25690,942,[ZQP]
JLT,2221,4077,17835,562,[EFE]
TDY,3836,8968,36310,1521,[ZVJ;LLD]
POL,3100,6537,27315,1026,[LLD;ZRA;OFC;UXE;APG;DKA]
YGP,4714,12309,48302,2237,[DKA;WUK;XIZ;NVB;SND]
HYU,1829,3134,14049,399,[SND;MRS;OTH;PGV]
DIH,1093,1622,7680,166,[PGV;OPY]
MAM,2707,5378,22907,801,[OPY;LMZ;QEB;LIR;DSA;GNV]
WSQ,4322,10758,42777,1900,[GNV;UTR;ZLT;PZV;VRX]
RDD,3586,8104,33146,1342,[ZRA;VRX;BJZ]
BVI,700,953,4674,82,[WLB;BJZ;EET;SKQ;RSS]
WFU,4464,11309,44747,2019,[RSS;NQU;TIW;NLL;PNA;QBP]
GXZ,1579,2582,11778,309,[QBP;WWM;LGT]
PQE,3193,6826,28399,1083,[LGT;GKI;LCK;NEY]
LAR,2457,4690,20245,673,[NEY;HIO;UNL;KXR;QTO;WLQ]
USV,4072,9818,39397,1700,[WLQ;QOG;FYM;SEJ;NHZ]
DKA,1186,1795,8432,190,[NHZ;OKN]
ZVN,4950,13288,51756,2453,[OKN;UCP;OFE;LDG]
JNR,2065,3689,16295,493,[LDG;KLI]
EXE,1328,2068,9610,230,[KLI;XQF;MAM;GEB;MWD;JTE]
OPJ,2943,6063,25521,933,[JTE;ICH]
XHO,4557,11677,46057,2099,[MGF;ICH;VHE;ZDY;RNI]
TSA,3821,8915,36118,1510,[RNI;XFJ;AAE;OGA]
CKF,936,1343,6446,129,[OGA;TYC]
LCK,2550,4942,21223,719,[TYC;JME;PEG;JHW]
HMW,1814,3100,13910,393,[JHW;LKK;MXZ;GAP]
QEB,3429,7582,31216,1235,[GAP;HDD]
MPO,2692,5336,22745,793,[HDD;NVF;HYU]
VHT,4307,10701,42572,1888,[IHB;HYU;JAJ]
FZX,1422,2256,10408,258,[JAJ;DEY;QJV;FTC;ZXR;SHB]
BJK,685,930,4565,79,[SHB;OFC;BVX;OAU;IDJ]
KBP,2300,4278,18631,598,[IDJ;KGX]
TTU,3915,9249,37332,1579,[KGX;QYZ;KBP;LED]
PEG,3178,6780,28224,1074,[LCK;LED;MRS;HUI;IXW]
YWL,4793,12633,49446,2308,[IXW;CAM;ISN;FQP]
UGY,4057,9763,39198,1688,[FQP;EYR]
DYC,1171,1767,8310,187,[EYR;RDO;GNV;ARK;TBU;WXO]
NQH,2786,5603,23771,844,[WXO;JCL;PUN;FIP;LAR]
IBU,2050,3653,16149,487,[LAR;RSS;UNN;HTJ]
STY,3664,8370,34123,1397,[HTJ;GBM]
BLD,779,1080,5256,97,[GBM;HOB;JRP;DUF;JMG;GKI]
XVQ,4543,11620,45856,2086,[GKI;MGF;SXH]
GNV,1657,2750,12475,336,[DZY;SXH;VTB]
CYH,921,1318,6331,126,[VTB;BLD;OQA]
LQM,2536,4903,21073,712,[FIP]
VIR,4150,10108,40441,1761,[OQA;XRH]
QSD,3414,7533,31035,1225,[XRH;KWE;QOG;GCI;MUK;GXZ]
AKI,529,692,3452,54,[GXZ;VIG;IND;CQS]
JDN,2143,3881,17060,527,[CQS;ETG]
FNA,1407,2226,10280,254,[ETG;KLI;EOY;BMZ]
OFE,3021,6297,26408,979,[BMZ;ZUC]
KPR,2285,4239,18479,591,[WIK;ZUC;NAY;CKF;WNV]
TIW,3900,9195,37137,1568,[WNV;CFW;ZDY;FYV]
CAA,1014,1480,7055,147,[FYV;LQX]
YKN,4778,12571,49228,2294,[LQX;FUN;HWB]
ICS,1893,3281,14648,423,[SJF;HWB;MOD]
RUX,3507,7840,32172,1288,[MOD;HSS;DPU;JHW;DLL;FNA]
NFJ,2771,5560,23606,836,[FNA;ZQP;FIR;BGS;VJI]
WXO,4386,11004,43659,1953,[VJI;OUS]
SHB,3649,8319,33935,1386,[BJK;OUS;DEY]
BZF,764,1056,5145,94,[DEY;XHO;DZP;TNS;GTO]
KRK,2379,4483,19437,635,[WRS]
GCX,1642,2718,12341,331,[GTO;MKQ]
PUC,3257,7028,29153,1124,[MKQ;PGK;HQU;IDJ]
ZMG,4872,12960,50602,2380,[IDJ;REQ]
VWT,4135,10052,40241,1749,[REQ;EJN;YNC;APR;GHT;AKI]
EOY,1250,1916,8958,208,[AKI;WIK;CAM;WDB;YGP]
AZK,514,670,3347,52,[IDJ;YGP;SJF]
JRP,2128,3844,16912,520,[SJF;YBH;UZI;THL]
SJU,3743,8642,35120,1453,[THL;HNH;WXO;QAE;IKN;COD]
OTH,3007,6254,26246,970,[COD;ZLE;FDG;ZHW;BJK]
XLL,4621,11932,46966,2155,[BJK;GBM;AFB;XCD;RGS]
HDQ,1736,2924,13191,364,[RGS;XYU]
COD,1000,1455,6944,144,[XYU;ZAJ;TDY]
MGH,2614,5117,21904,752,[PLT;TDY;ZVA]
HQU,1878,3246,14507,417,[PUC;ZVA;VTB;CPZ;IHB]
RIZ,3493,7793,31997,1278,[IHB;CKQ;RUX;EAT]
AAE,607,809,4003,66,[EAT;DIW]
WLQ,4371,10946,43452,1941,[USV;DIW;AGX;GXZ;ABP]
FDV,1485,2386,10953,278,[ABP;BDD;VHT;BZU]
PVA,3100,6538,27316,1026,[BZU;YWW;SAL;YSN;ZUC;UXR]
KFM,2364,4444,19283,628,[UXR;HDO;PDV;DJS;IBU]
UXR,3978,9476,38158,1627,[KFM;IBU;MWO;SOQ]
PIE,3242,6980,28976,1114,[JTE;SOQ;FUN;VIP;BAQ]
ZAJ,4857,12898,50382,2366,[BAQ;VDG;WFU]
ISN,1971,3464,15390,454,[WFU;CXW;WBM;TYN]
ECA,1235,1888,8835,204,[IND]
NVF,2850,5788,24478,880,[MPO]
WNJ,4464,11309,44748,2019,[TYN;ZQP]
SXW,3728,8590,34930,1442,[ZQP;TUF;VWT;PAI]
BPB,843,1185,5736,110,[PAI;USK;RPM;LTB]
XAN,4606,11872,46753,2142,[LTB;DDL]
HSS,1721,2891,13055,358,[DDL;TNS;NQH;AWE]
QKX,3336,7280,30094,1174,[AWE;ZEG]
MUK,2599,5076,21744,745,[ZEG;WCI;CUK;WXZ;XAN;YNC]
VMO,4214,10347,41304,1812,[YNC;XVF]
EET,1329,2070,9617,230,[XVF;UTG;OWW;UOY;VQM;PUC]
APG,592,786,3896,64,[PUC;DZY;SJF;MNU;EXE]
JHL,2207,4041,17695,555,[EXE;ISY;OKA;BQX;REZ]
FRX,1471,2356,10831,274,[REZ;XWB]
OJC,3085,6492,27143,1017,[XWB;COD;GJX]
YBH,4700,12251,48098,2224,[GJX;YUH;SXW;PVY]
UMT,3964,9425,37971,1616,[PVY;VNZ]
DEY,1078,1595,7561,163,[BZF;VNZ;PQP]
MWD,2693,5338,22754,794,[PQP;QSD;RGS]
IGQ,1957,3431,15255,449,[RGS;QOV]
RYU,3571,8054,32961,1332,[QOV;NLW;HPM;NHO;OJC;JNR]
NJH,2835,5745,24312,872,[JNR;OFT;LCV;SYS;XQU]
WBM,4449,11250,44539,2006,[XQU;STJ;HDQ;UJN]
GTQ,1564,2551,11646,304,[UJN;TRP]
BDD,828,1160,5623,106,[TRP;QPR;VHT;QKI;RNW;LQM]
LVI,2442,4650,20090,665,[LQM;ZVJ;OGP;IJF;OBH]
UNN,4057,9764,39199,1688,[OBH;PDV;JHL;XMH]
QYZ,3321,7232,29914,1164,[XMH;WUK]
ZQE,4935,13226,51536,2439,[WUK;SSL;YKN;SND;HXJ;VDG]
VAR,4199,10291,41101,1800,[LMO;VDG]
ESV,1314,2041,9491,226,[VDG;PGV;RJK]
OKA,2928,6018,25353,924,[RJK;LMZ;QEB;SHQ]
JVN,2192,4003,17545,548,[SHQ;MKF;ZQC;PAI;JDY;PVA]
TNS,3807,8866,35936,1499,[PVA;EJC;KBE;YGA;BCV]
CFW,921,1318,6331,126,[BCV;TME]
YPJ,4685,12191,47882,2211,[TME;ZEG;CAA;QFX]
HIO,1800,3068,13780,388,[QFX;PNA]
DSA,1063,1568,7442,159,[PNA;MLB;RDD;LGT;NJH;OWW]
MKF,2678,5296,22592,786,[OWW;NEY]
VCK,4293,10646,42378,1876,[NEY;KCA;EFP;KXR;LAG;FDV]
RNW,3556,8004,32776,1321,[FDV;TIS;ISY;CWO;UGY]
AFB,671,908,4463,77,[UGY;OKN;DUU;RZQ;LDG]
KXG,2286,4242,18488,591,[YKY]
GHT,1549,2519,11513,299,[LDG;MFU]
PZX,3164,6735,28059,1065,[MFU;SXW;MAM]
LKK,2428,4612,19943,658,[MAM;ODA;IGQ;JTE]
UCP,4042,9709,39001,1677,[JTE;KWT]
DUU,1157,1740,8196,183,[BGS;KWT;FZI]
ZEG,4921,13165,51325,2425,[QKX;FZI]
IWL,2035,3617,16005,481,[FZI;KRK;HPM]
SOQ,3650,8322,33945,1387,[HPM;GXO]
NZC,2913,5974,25185,916,[GXO;TDL;XYF;DQH;VAR;YWL]
XRH,4528,11561,45646,2074,[VIR;YWL;EON;STJ]
TBU,3792,8813,35745,1488,[STJ;HHM;NZN]
CTZ,906,1292,6216,123,[NZN;HDD;WNJ;KSG]
LLD,2521,4862,20916,705,[POL]
HWQ,1785,3034,13641,382,[KSG;JAJ]
QOV,3399,7485,30854,1216,[IGQ;JAJ;FYK;LQM;FTC]
AGZ,514,670,3347,52,[EFP;FTC;HWQ]
VQM,4278,10589,42174,1864,[HWQ;BZF;OFC;EPJ;YSY;DKA]
